# Parameters and options used in calculation
# 3   Projectile charge
# 6   Projectile mass
# 83   Target charge
# 209   Target mass
# 0   Shell correction
# 1   Shell-correction factor
# 0.1   Stepsize for the kinetic energy
# 1   Level-density parameter used
# 19   Damping-shell energy used
# 1   af/an ratio
# 0.4   Correction factor for the moment of inertia
# 0   Mass table used
# 1   Pairing correction
# 1   Kramers-Strutinsky factor
# 1   Collective enhancement factor
# 5e+21   Reduced friction used
# 1   Potential curvature in the ground state (MeV)
# 1   Potential curvature at the saddle point (MeV)
# 1   Evaporation model used
# 0   Hill-Wheeler penetration factor used
# 1   Fission-barrier model used
# 20   Minimum excitation energy
# 50   Maximum excitation energy
# 0.1   Stepsize for the spectral discretization
# 1   Stepsize for plotting the excitation function
# 0   Minimum angular momentum
# 199   Maximum angular momentum
# 4   Number of emitted neutrons
# 0   Number of emitted protons
# 1   Types of emitted particles at each step
# 0   Gamma-ray emission
# 1   Gamma-ray emission model used
# 0   Fission-time calculation
# 1.1   Time factor
# 1e-06   Cut-off for the transmission coefficient
# 1e-50   Cut-off for the decay width
# 0   Fusion model used
# 0, 0   Barrier-distribution parameters
# 32   Number of abscissas for the G-L integration
# CaPu.dat   Name of the fusion data file
# Koura.dat   Name of the nuclear data file
# MollerFisBar.dat   Name of the fission-barrier data file
# cross-sections.dat   Name of the output file
# Estar	Ecm	Elab	Fusion	0n0p	1n0p	2n0p	3n0p	4n0p   
2.000000e+01   2.305518e+01   2.371705e+01   1.308522e-02   0.000000e+00   1.130362e-06   1.027349e-02   2.636140e-03   0.000000e+00   
2.100000e+01   2.405518e+01   2.474575e+01   8.768799e-02   0.000000e+00   2.232179e-06   4.040058e-02   4.581580e-02   0.000000e+00   
2.200000e+01   2.505518e+01   2.577446e+01   4.977225e-01   0.000000e+00   3.862453e-06   1.121162e-01   3.753572e-01   0.000000e+00   
2.300000e+01   2.605518e+01   2.680317e+01   2.421122e+00   0.000000e+00   5.913769e-06   2.417380e-01   2.119462e+00   0.000000e+00   
2.400000e+01   2.705518e+01   2.783188e+01   1.007153e+01   0.000000e+00   7.979209e-06   4.228783e-01   9.354122e+00   0.000000e+00   
2.500000e+01   2.805518e+01   2.886059e+01   3.465013e+01   0.000000e+00   9.158716e-06   5.952580e-01   3.287142e+01   0.000000e+00   
2.600000e+01   2.905518e+01   2.988930e+01   9.237787e+01   0.000000e+00   8.365141e-06   6.410929e-01   8.807956e+01   4.715432e-04   
2.700000e+01   3.005518e+01   3.091800e+01   1.864220e+02   0.000000e+00   5.929385e-06   5.206639e-01   1.757743e+02   1.625173e+00   
2.800000e+01   3.105518e+01   3.194671e+01   3.009697e+02   0.000000e+00   3.442342e-06   3.389080e-01   2.598196e+02   2.509199e+01   
2.900000e+01   3.205518e+01   3.297542e+01   4.191081e+02   0.000000e+00   1.762477e-06   1.913098e-01   2.911287e+02   1.028826e+02   
3.000000e+01   3.305518e+01   3.400413e+01   5.330569e+02   0.000000e+00   8.417263e-07   9.940369e-02   2.635799e+02   2.334444e+02   
3.100000e+01   3.405518e+01   3.503284e+01   6.407534e+02   0.000000e+00   3.875739e-07   4.926752e-02   2.049322e+02   3.864792e+02   
3.200000e+01   3.505518e+01   3.606154e+01   7.418904e+02   0.000000e+00   1.751903e-07   2.376265e-02   1.430376e+02   5.329073e+02   
3.300000e+01   3.605518e+01   3.709025e+01   8.368348e+02   0.000000e+00   7.855417e-08   1.128724e-02   9.243679e+01   6.576779e+02   
3.400000e+01   3.705518e+01   3.811896e+01   9.260801e+02   0.000000e+00   3.515883e-08   5.319250e-03   5.650368e+01   7.575059e+02   
3.500000e+01   3.805518e+01   3.914767e+01   1.010107e+03   0.000000e+00   1.576820e-08   2.498982e-03   3.316479e+01   8.350436e+02   
3.600000e+01   3.905518e+01   4.017638e+01   1.089351e+03   0.000000e+00   7.103708e-09   1.174149e-03   1.889462e+01   8.907857e+02   
3.700000e+01   4.005518e+01   4.120509e+01   1.164180e+03   0.000000e+00   3.219876e-09   5.529550e-04   1.053157e+01   9.107788e+02   
3.800000e+01   4.105518e+01   4.223379e+01   1.234923e+03   0.000000e+00   1.469961e-09   2.614216e-04   5.777071e+00   8.761804e+02   
3.900000e+01   4.205518e+01   4.326250e+01   1.301874e+03   0.000000e+00   6.763803e-10   1.242121e-04   3.132774e+00   7.855431e+02   
4.000000e+01   4.305518e+01   4.429121e+01   1.365290e+03   0.000000e+00   3.138288e-10   5.936160e-05   1.685212e+00   6.574312e+02   
4.100000e+01   4.405518e+01   4.531992e+01   1.425422e+03   0.000000e+00   1.468727e-10   2.855115e-05   9.016860e-01   5.175377e+02   
4.200000e+01   4.505518e+01   4.634863e+01   1.482630e+03   0.000000e+00   6.935069e-11   1.382740e-05   4.809407e-01   3.868367e+02   
4.300000e+01   4.605518e+01   4.737733e+01   1.537054e+03   0.000000e+00   3.303958e-11   6.744685e-06   2.561348e-01   2.769849e+02   
4.400000e+01   4.705518e+01   4.840604e+01   1.588758e+03   0.000000e+00   1.588046e-11   3.313881e-06   1.363740e-01   1.914582e+02   
4.500000e+01   4.805518e+01   4.943475e+01   1.638007e+03   0.000000e+00   7.700976e-12   1.640380e-06   7.267238e-02   1.286010e+02   
4.600000e+01   4.905518e+01   5.046346e+01   1.685129e+03   0.000000e+00   3.767831e-12   8.181876e-07   3.879676e-02   8.440143e+01   
4.700000e+01   5.005518e+01   5.149217e+01   1.729946e+03   0.000000e+00   1.859369e-12   4.111311e-07   2.075959e-02   5.435278e+01   
4.800000e+01   5.105518e+01   5.252087e+01   1.772814e+03   0.000000e+00   9.254745e-13   2.081464e-07   1.114113e-02   3.447349e+01   
4.900000e+01   5.205518e+01   5.354958e+01   1.813855e+03   0.000000e+00   4.645318e-13   1.061663e-07   5.999392e-03   2.159845e+01   
5.000000e+01   5.305518e+01   5.457829e+01   1.852951e+03   0.000000e+00   2.350630e-13   5.454252e-08   3.242182e-03   1.339779e+01   
