# Parameters and options used in calculation
# 21   Projectile charge
# 45   Projectile mass
# 99   Target charge
# 252   Target mass
# 1   Shell correction
# 1   Shell-correction factor
# 0.1   Stepsize for the kinetic energy
# 1   Level-density parameter used
# 19   Damping-shell energy used
# 1   af/an ratio
# 0.4   Correction factor for the moment of inertia
# 0   Mass table used
# 1   Pairing correction
# 1   Kramers-Strutinsky factor
# 1   Collective enhancement factor
# 5e+21   Reduced friction used
# 1   Potential curvature in the ground state (MeV)
# 1   Potential curvature at the saddle point (MeV)
# 1   Evaporation model used
# 0   Hill-Wheeler penetration factor used
# 1   Fission-barrier model used
# 20   Minimum excitation energy
# 50   Maximum excitation energy
# 0.1   Stepsize for the spectral discretization
# 0.1   Stepsize for plotting the excitation function
# 0   Minimum angular momentum
# 199   Maximum angular momentum
# 4   Number of emitted neutrons
# 0   Number of emitted protons
# 1   Types of emitted particles at each step
# 0   Gamma-ray emission
# 1   Gamma-ray emission model used
# 0   Fission-time calculation
# 1.1   Time factor
# 1e-06   Cut-off for the transmission coefficient
# 1e-50   Cut-off for the decay width
# 0   Fusion model used
# 0, 0   Barrier-distribution parameters
# 32   Number of abscissas for the G-L integration
# CaPu.dat   Name of the fusion data file
# Koura.dat   Name of the nuclear data file
# MollerFisBar.dat   Name of the fission-barrier data file
# cross-sections.dat   Name of the output file
# Estar	Ecm	Elab	Fusion	0n0p	1n0p	2n0p	3n0p	4n0p   
2.000000e+01   1.957677e+02   2.307262e+02   2.321091e-10   0.000000e+00   7.470166e-14   8.733331e-12   0.000000e+00   0.000000e+00   
2.010000e+01   1.958677e+02   2.308441e+02   2.695101e-10   0.000000e+00   7.549652e-14   9.944184e-12   0.000000e+00   0.000000e+00   
2.020000e+01   1.959677e+02   2.309619e+02   3.128780e-10   0.000000e+00   7.630784e-14   1.132221e-11   0.000000e+00   0.000000e+00   
2.030000e+01   1.960677e+02   2.310798e+02   3.631551e-10   0.000000e+00   7.713632e-14   1.289061e-11   0.000000e+00   0.000000e+00   
2.040000e+01   1.961677e+02   2.311976e+02   4.214311e-10   0.000000e+00   7.798259e-14   1.467580e-11   0.000000e+00   0.000000e+00   
2.050000e+01   1.962677e+02   2.313155e+02   4.889657e-10   0.000000e+00   7.884733e-14   1.670791e-11   0.000000e+00   0.000000e+00   
2.060000e+01   1.963677e+02   2.314334e+02   5.672150e-10   0.000000e+00   7.973118e-14   1.902126e-11   0.000000e+00   0.000000e+00   
2.070000e+01   1.964677e+02   2.315512e+02   6.578619e-10   0.000000e+00   8.063478e-14   2.165498e-11   0.000000e+00   0.000000e+00   
2.080000e+01   1.965677e+02   2.316691e+02   7.628507e-10   0.000000e+00   8.155878e-14   2.465367e-11   0.000000e+00   0.000000e+00   
2.090000e+01   1.966677e+02   2.317869e+02   8.844276e-10   0.000000e+00   8.250382e-14   2.806816e-11   0.000000e+00   0.000000e+00   
2.100000e+01   1.967677e+02   2.319048e+02   1.025187e-09   0.000000e+00   8.347053e-14   3.195644e-11   0.000000e+00   0.000000e+00   
2.110000e+01   1.968677e+02   2.320226e+02   1.188124e-09   0.000000e+00   8.445955e-14   3.638458e-11   0.000000e+00   0.000000e+00   
2.120000e+01   1.969677e+02   2.321405e+02   1.376700e-09   0.000000e+00   8.547156e-14   4.142795e-11   0.000000e+00   0.000000e+00   
