# Parameters and options used in calculation
# 20   Projectile charge
# 50   Projectile mass
# 100   Target charge
# 257   Target mass
# 0   Shell correction
# 1   Shell-correction factor
# 0.1   Stepsize for the kinetic energy
# 1   Level-density parameter used
# 19   Damping-shell energy used
# 1   af/an ratio
# 0.4   Correction factor for the moment of inertia
# 0   Mass table used
# 1   Pairing correction
# 1   Kramers-Strutinsky factor
# 1   Collective enhancement factor
# 5e+21   Reduced friction used
# 1   Potential curvature in the ground state (MeV)
# 1   Potential curvature at the saddle point (MeV)
# 1   Evaporation model used
# 0   Hill-Wheeler penetration factor used
# 1   Fission-barrier model used
# 20   Minimum excitation energy
# 50   Maximum excitation energy
# 0.1   Stepsize for the spectral discretization
# 0.01   Stepsize for plotting the excitation function
# 0   Minimum angular momentum
# 199   Maximum angular momentum
# 4   Number of emitted neutrons
# 0   Number of emitted protons
# 1   Types of emitted particles at each step
# 0   Gamma-ray emission
# 1   Gamma-ray emission model used
# 0   Fission-time calculation
# 1.1   Time factor
# 1e-06   Cut-off for the transmission coefficient
# 1e-50   Cut-off for the decay width
# 0   Fusion model used
# 0, 0   Barrier-distribution parameters
# 32   Number of abscissas for the G-L integration
# CaPu.dat   Name of the fusion data file
# Koura.dat   Name of the nuclear data file
# MollerFisBar.dat   Name of the fission-barrier data file
# cross-sections.dat   Name of the output file
# Estar	Ecm	Elab	Fusion	0n0p	1n0p	2n0p	3n0p	4n0p   
2.000000e+01   2.025853e+02   2.419987e+02   1.040949e+01   0.000000e+00   3.564417e-16   1.422360e-13   2.016388e-13   0.000000e+00   
2.001000e+01   2.025953e+02   2.420107e+02   1.051710e+01   0.000000e+00   3.601263e-16   1.437063e-13   2.037232e-13   0.000000e+00   
2.002000e+01   2.026053e+02   2.420226e+02   1.062556e+01   0.000000e+00   3.638401e-16   1.451883e-13   2.058241e-13   0.000000e+00   
2.003000e+01   2.026153e+02   2.420346e+02   1.073487e+01   0.000000e+00   3.675833e-16   1.466820e-13   2.079416e-13   0.000000e+00   
2.004000e+01   2.026253e+02   2.420465e+02   1.084505e+01   0.000000e+00   3.713559e-16   1.481874e-13   2.100757e-13   0.000000e+00   
2.005000e+01   2.026353e+02   2.420585e+02   1.095608e+01   0.000000e+00   3.328381e-16   1.365724e-13   2.159972e-13   0.000000e+00   
2.006000e+01   2.026453e+02   2.420704e+02   1.106798e+01   0.000000e+00   3.362376e-16   1.379673e-13   2.182033e-13   0.000000e+00   
2.007000e+01   2.026553e+02   2.420824e+02   1.118075e+01   0.000000e+00   3.396634e-16   1.393730e-13   2.204265e-13   0.000000e+00   
2.008000e+01   2.026653e+02   2.420943e+02   1.129438e+01   0.000000e+00   3.431155e-16   1.407895e-13   2.226668e-13   0.000000e+00   
2.009000e+01   2.026753e+02   2.421063e+02   1.140889e+01   0.000000e+00   3.465940e-16   1.422168e-13   2.249242e-13   0.000000e+00   
2.010000e+01   2.026853e+02   2.421182e+02   1.152426e+01   0.000000e+00   3.500991e-16   1.436550e-13   2.271988e-13   0.000000e+00   
2.011000e+01   2.026953e+02   2.421301e+02   1.164051e+01   0.000000e+00   3.536307e-16   1.451041e-13   2.294907e-13   0.000000e+00   
2.012000e+01   2.027053e+02   2.421421e+02   1.175764e+01   0.000000e+00   3.571889e-16   1.465642e-13   2.317998e-13   0.000000e+00   
2.013000e+01   2.027153e+02   2.421540e+02   1.187564e+01   0.000000e+00   3.607738e-16   1.480352e-13   2.341262e-13   0.000000e+00   
2.014000e+01   2.027253e+02   2.421660e+02   1.199453e+01   0.000000e+00   3.643855e-16   1.495171e-13   2.364700e-13   0.000000e+00   
2.015000e+01   2.027353e+02   2.421779e+02   1.211430e+01   0.000000e+00   3.265955e-16   1.377515e-13   2.421683e-13   0.000000e+00   
2.016000e+01   2.027453e+02   2.421899e+02   1.223495e+01   0.000000e+00   3.298482e-16   1.391234e-13   2.445802e-13   0.000000e+00   
2.017000e+01   2.027553e+02   2.422018e+02   1.235649e+01   0.000000e+00   3.331247e-16   1.405054e-13   2.470098e-13   0.000000e+00   
2.018000e+01   2.027653e+02   2.422138e+02   1.247891e+01   0.000000e+00   3.364252e-16   1.418974e-13   2.494570e-13   0.000000e+00   
2.019000e+01   2.027753e+02   2.422257e+02   1.260222e+01   0.000000e+00   3.397496e-16   1.432996e-13   2.519220e-13   0.000000e+00   
2.020000e+01   2.027853e+02   2.422377e+02   1.272642e+01   0.000000e+00   3.430979e-16   1.447118e-13   2.544048e-13   0.000000e+00   
2.021000e+01   2.027953e+02   2.422496e+02   1.285150e+01   0.000000e+00   3.464701e-16   1.461342e-13   2.569053e-13   0.000000e+00   
2.022000e+01   2.028053e+02   2.422615e+02   1.297748e+01   0.000000e+00   3.498664e-16   1.475667e-13   2.594236e-13   0.000000e+00   
2.023000e+01   2.028153e+02   2.422735e+02   1.310435e+01   0.000000e+00   3.532867e-16   1.490093e-13   2.619597e-13   0.000000e+00   
2.024000e+01   2.028253e+02   2.422854e+02   1.323210e+01   0.000000e+00   3.567310e-16   1.504620e-13   2.645136e-13   0.000000e+00   
2.025000e+01   2.028353e+02   2.422974e+02   1.336076e+01   0.000000e+00   3.197360e-16   1.385749e-13   2.698665e-13   0.000000e+00   
2.026000e+01   2.028453e+02   2.423093e+02   1.349030e+01   0.000000e+00   3.228362e-16   1.399186e-13   2.724832e-13   0.000000e+00   
2.027000e+01   2.028553e+02   2.423213e+02   1.362075e+01   0.000000e+00   3.259578e-16   1.412715e-13   2.751180e-13   0.000000e+00   
2.028000e+01   2.028653e+02   2.423332e+02   1.375209e+01   0.000000e+00   3.291011e-16   1.426338e-13   2.777709e-13   0.000000e+00   
2.029000e+01   2.028753e+02   2.423452e+02   1.388434e+01   0.000000e+00   3.322658e-16   1.440054e-13   2.804421e-13   0.000000e+00   
2.030000e+01   2.028853e+02   2.423571e+02   1.401749e+01   0.000000e+00   3.354522e-16   1.453864e-13   2.831315e-13   0.000000e+00   
2.031000e+01   2.028953e+02   2.423691e+02   1.415154e+01   0.000000e+00   3.386601e-16   1.467767e-13   2.858391e-13   0.000000e+00   
2.032000e+01   2.029053e+02   2.423810e+02   1.428648e+01   0.000000e+00   3.418895e-16   1.481764e-13   2.885648e-13   0.000000e+00   
2.033000e+01   2.029153e+02   2.423929e+02   1.442232e+01   0.000000e+00   3.451403e-16   1.495853e-13   2.913086e-13   0.000000e+00   
2.034000e+01   2.029253e+02   2.424049e+02   1.455906e+01   0.000000e+00   3.484126e-16   1.510035e-13   2.940705e-13   0.000000e+00   
2.035000e+01   2.029353e+02   2.424168e+02   1.469670e+01   0.000000e+00   3.122789e-16   1.390264e-13   2.989486e-13   0.000000e+00   
2.036000e+01   2.029453e+02   2.424288e+02   1.483524e+01   0.000000e+00   3.152225e-16   1.403369e-13   3.017665e-13   0.000000e+00   
2.037000e+01   2.029553e+02   2.424407e+02   1.497459e+01   0.000000e+00   3.181835e-16   1.416552e-13   3.046012e-13   0.000000e+00   
2.038000e+01   2.029653e+02   2.424527e+02   1.511481e+01   0.000000e+00   3.211629e-16   1.429816e-13   3.074534e-13   0.000000e+00   
2.039000e+01   2.029753e+02   2.424646e+02   1.525592e+01   0.000000e+00   3.241612e-16   1.443164e-13   3.103237e-13   0.000000e+00   
2.040000e+01   2.029853e+02   2.424766e+02   1.539798e+01   0.000000e+00   3.271797e-16   1.456603e-13   3.132134e-13   0.000000e+00   
2.041000e+01   2.029953e+02   2.424885e+02   1.554091e+01   0.000000e+00   3.302168e-16   1.470124e-13   3.161208e-13   0.000000e+00   
2.042000e+01   2.030053e+02   2.425005e+02   1.568477e+01   0.000000e+00   3.332736e-16   1.483732e-13   3.190471e-13   0.000000e+00   
2.043000e+01   2.030153e+02   2.425124e+02   1.582955e+01   0.000000e+00   3.363500e-16   1.497428e-13   3.219922e-13   0.000000e+00   
2.044000e+01   2.030253e+02   2.425243e+02   1.597514e+01   0.000000e+00   3.394435e-16   1.511201e-13   3.249537e-13   0.000000e+00   
2.045000e+01   2.030353e+02   2.425363e+02   1.612184e+01   0.000000e+00   3.042373e-16   1.390870e-13   3.292229e-13   0.000000e+00   
2.046000e+01   2.030453e+02   2.425482e+02   1.626925e+01   0.000000e+00   3.070192e-16   1.403588e-13   3.322332e-13   0.000000e+00   
2.047000e+01   2.030553e+02   2.425602e+02   1.641752e+01   0.000000e+00   3.098172e-16   1.416380e-13   3.352610e-13   0.000000e+00   
2.048000e+01   2.030653e+02   2.425721e+02   1.656671e+01   0.000000e+00   3.126326e-16   1.429250e-13   3.383076e-13   0.000000e+00   
2.049000e+01   2.030753e+02   2.425841e+02   1.671710e+01   0.000000e+00   3.154706e-16   1.442225e-13   3.413787e-13   0.000000e+00   
2.050000e+01   2.030853e+02   2.425960e+02   1.686807e+01   0.000000e+00   3.183195e-16   1.455249e-13   3.444616e-13   0.000000e+00   
2.051000e+01   2.030953e+02   2.426080e+02   1.701988e+01   0.000000e+00   3.211844e-16   1.468346e-13   3.475617e-13   0.000000e+00   
2.052000e+01   2.031053e+02   2.426199e+02   1.717303e+01   0.000000e+00   3.240745e-16   1.481559e-13   3.506892e-13   0.000000e+00   
2.053000e+01   2.031153e+02   2.426319e+02   1.732674e+01   0.000000e+00   3.269752e-16   1.494820e-13   3.538281e-13   0.000000e+00   
2.054000e+01   2.031253e+02   2.426438e+02   1.748128e+01   0.000000e+00   3.298916e-16   1.508153e-13   3.569840e-13   0.000000e+00   
2.055000e+01   2.031353e+02   2.426557e+02   1.763666e+01   0.000000e+00   2.956663e-16   1.387575e-13   3.604998e-13   0.000000e+00   
2.056000e+01   2.031453e+02   2.426677e+02   1.779299e+01   0.000000e+00   2.982870e-16   1.399874e-13   3.636952e-13   0.000000e+00   
2.057000e+01   2.031553e+02   2.426796e+02   1.795068e+01   0.000000e+00   3.009305e-16   1.412280e-13   3.669185e-13   0.000000e+00   
2.058000e+01   2.031653e+02   2.426916e+02   1.810885e+01   0.000000e+00   3.035821e-16   1.424724e-13   3.701515e-13   0.000000e+00   
2.059000e+01   2.031753e+02   2.427035e+02   1.826783e+01   0.000000e+00   3.062473e-16   1.437232e-13   3.734011e-13   0.000000e+00   
2.060000e+01   2.031853e+02   2.427155e+02   1.842762e+01   0.000000e+00   3.089262e-16   1.449804e-13   3.766674e-13   0.000000e+00   
2.061000e+01   2.031953e+02   2.427274e+02   1.858842e+01   0.000000e+00   3.116219e-16   1.462455e-13   3.799542e-13   0.000000e+00   
2.062000e+01   2.032053e+02   2.427394e+02   1.875052e+01   0.000000e+00   3.143393e-16   1.475208e-13   3.832675e-13   0.000000e+00   
2.063000e+01   2.032153e+02   2.427513e+02   1.891315e+01   0.000000e+00   3.170656e-16   1.488003e-13   3.865917e-13   0.000000e+00   
2.064000e+01   2.032253e+02   2.427633e+02   1.907657e+01   0.000000e+00   3.198053e-16   1.500860e-13   3.899320e-13   0.000000e+00   
2.065000e+01   2.032353e+02   2.427752e+02   1.924077e+01   0.000000e+00   2.866201e-16   1.380404e-13   3.925611e-13   0.000000e+00   
2.066000e+01   2.032453e+02   2.427871e+02   1.940580e+01   0.000000e+00   2.890785e-16   1.392244e-13   3.959282e-13   0.000000e+00   
2.067000e+01   2.032553e+02   2.427991e+02   1.957227e+01   0.000000e+00   2.915583e-16   1.404187e-13   3.993246e-13   0.000000e+00   
2.068000e+01   2.032653e+02   2.428110e+02   1.973932e+01   0.000000e+00   2.940469e-16   1.416172e-13   4.027330e-13   0.000000e+00   
2.069000e+01   2.032753e+02   2.428230e+02   1.990719e+01   0.000000e+00   2.965475e-16   1.428215e-13   4.061579e-13   0.000000e+00   
2.070000e+01   2.032853e+02   2.428349e+02   2.007583e+01   0.000000e+00   2.990596e-16   1.440314e-13   4.095986e-13   0.000000e+00   
2.071000e+01   2.032953e+02   2.428469e+02   2.024522e+01   0.000000e+00   3.015830e-16   1.452467e-13   4.130546e-13   0.000000e+00   
2.072000e+01   2.033053e+02   2.428588e+02   2.041545e+01   0.000000e+00   3.041188e-16   1.464680e-13   4.165277e-13   0.000000e+00   
2.073000e+01   2.033153e+02   2.428708e+02   2.058703e+01   0.000000e+00   3.066747e-16   1.476989e-13   4.200283e-13   0.000000e+00   
2.074000e+01   2.033253e+02   2.428827e+02   2.075929e+01   0.000000e+00   3.092408e-16   1.489348e-13   4.235430e-13   0.000000e+00   
2.075000e+01   2.033353e+02   2.428947e+02   2.093235e+01   0.000000e+00   2.771482e-16   1.369379e-13   4.251537e-13   0.000000e+00   
2.076000e+01   2.033453e+02   2.429066e+02   2.110617e+01   0.000000e+00   2.794496e-16   1.380750e-13   4.286842e-13   0.000000e+00   
2.077000e+01   2.033553e+02   2.429185e+02   2.128074e+01   0.000000e+00   2.817610e-16   1.392171e-13   4.322298e-13   0.000000e+00   
2.078000e+01   2.033653e+02   2.429305e+02   2.145607e+01   0.000000e+00   2.840823e-16   1.403640e-13   4.357908e-13   0.000000e+00   
2.079000e+01   2.033753e+02   2.429424e+02   2.163248e+01   0.000000e+00   2.864180e-16   1.415181e-13   4.393739e-13   0.000000e+00   
2.080000e+01   2.033853e+02   2.429544e+02   2.180981e+01   0.000000e+00   2.887659e-16   1.426782e-13   4.429756e-13   0.000000e+00   
2.081000e+01   2.033953e+02   2.429663e+02   2.198800e+01   0.000000e+00   2.911252e-16   1.438439e-13   4.465949e-13   0.000000e+00   
2.082000e+01   2.034053e+02   2.429783e+02   2.216696e+01   0.000000e+00   2.934947e-16   1.450146e-13   4.502297e-13   0.000000e+00   
2.083000e+01   2.034153e+02   2.429902e+02   2.234666e+01   0.000000e+00   2.958739e-16   1.461902e-13   4.538794e-13   0.000000e+00   
2.084000e+01   2.034253e+02   2.430022e+02   2.252708e+01   0.000000e+00   2.982626e-16   1.473705e-13   4.575439e-13   0.000000e+00   
2.085000e+01   2.034353e+02   2.430141e+02   2.270823e+01   0.000000e+00   2.672988e-16   1.354538e-13   4.579943e-13   0.000000e+00   
2.086000e+01   2.034453e+02   2.430261e+02   2.289043e+01   0.000000e+00   2.694435e-16   1.365406e-13   4.616690e-13   0.000000e+00   
2.087000e+01   2.034553e+02   2.430380e+02   2.307339e+01   0.000000e+00   2.715971e-16   1.376320e-13   4.653591e-13   0.000000e+00   
2.088000e+01   2.034653e+02   2.430499e+02   2.325739e+01   0.000000e+00   2.737629e-16   1.387295e-13   4.690701e-13   0.000000e+00   
2.089000e+01   2.034753e+02   2.430619e+02   2.344215e+01   0.000000e+00   2.759378e-16   1.398316e-13   4.727965e-13   0.000000e+00   
2.090000e+01   2.034853e+02   2.430738e+02   2.362763e+01   0.000000e+00   2.781211e-16   1.409380e-13   4.765375e-13   0.000000e+00   
2.091000e+01   2.034953e+02   2.430858e+02   2.381381e+01   0.000000e+00   2.803127e-16   1.420486e-13   4.802925e-13   0.000000e+00   
2.092000e+01   2.035053e+02   2.430977e+02   2.400068e+01   0.000000e+00   2.825122e-16   1.431632e-13   4.840613e-13   0.000000e+00   
2.093000e+01   2.035153e+02   2.431097e+02   2.418827e+01   0.000000e+00   2.847204e-16   1.442822e-13   4.878448e-13   0.000000e+00   
2.094000e+01   2.035253e+02   2.431216e+02   2.437667e+01   0.000000e+00   2.869380e-16   1.454060e-13   4.916445e-13   0.000000e+00   
2.095000e+01   2.035353e+02   2.431336e+02   2.456628e+01   0.000000e+00   2.571475e-16   1.336079e-13   4.908243e-13   0.000000e+00   
2.096000e+01   2.035453e+02   2.431455e+02   2.475669e+01   0.000000e+00   2.591406e-16   1.346435e-13   4.946286e-13   0.000000e+00   
2.097000e+01   2.035553e+02   2.431575e+02   2.494783e+01   0.000000e+00   2.611414e-16   1.356830e-13   4.984476e-13   0.000000e+00   
2.098000e+01   2.035653e+02   2.431694e+02   2.513966e+01   0.000000e+00   2.631494e-16   1.367263e-13   5.022803e-13   0.000000e+00   
2.099000e+01   2.035753e+02   2.431813e+02   2.533215e+01   0.000000e+00   2.651643e-16   1.377732e-13   5.061262e-13   0.000000e+00   
2.100000e+01   2.035853e+02   2.431933e+02   2.552529e+01   0.000000e+00   2.671859e-16   1.388236e-13   5.099849e-13   0.000000e+00   
2.101000e+01   2.035953e+02   2.432052e+02   2.571910e+01   0.000000e+00   2.692146e-16   1.398777e-13   5.138572e-13   0.000000e+00   
2.102000e+01   2.036053e+02   2.432172e+02   2.591355e+01   0.000000e+00   2.712500e-16   1.409352e-13   5.177421e-13   0.000000e+00   
2.103000e+01   2.036153e+02   2.432291e+02   2.610923e+01   0.000000e+00   2.732983e-16   1.419995e-13   5.216518e-13   0.000000e+00   
2.104000e+01   2.036253e+02   2.432411e+02   2.630581e+01   0.000000e+00   2.753560e-16   1.430686e-13   5.255794e-13   0.000000e+00   
2.105000e+01   2.036353e+02   2.432530e+02   2.650312e+01   0.000000e+00   2.467617e-16   1.314193e-13   5.233663e-13   0.000000e+00   
2.106000e+01   2.036453e+02   2.432650e+02   2.670111e+01   0.000000e+00   2.486051e-16   1.324011e-13   5.272760e-13   0.000000e+00   
2.107000e+01   2.036553e+02   2.432769e+02   2.689974e+01   0.000000e+00   2.504544e-16   1.333860e-13   5.311984e-13   0.000000e+00   
2.108000e+01   2.036653e+02   2.432889e+02   2.709897e+01   0.000000e+00   2.523094e-16   1.343739e-13   5.351327e-13   0.000000e+00   
2.109000e+01   2.036753e+02   2.433008e+02   2.729881e+01   0.000000e+00   2.541701e-16   1.353648e-13   5.390790e-13   0.000000e+00   
2.110000e+01   2.036853e+02   2.433128e+02   2.749934e+01   0.000000e+00   2.560372e-16   1.363592e-13   5.430390e-13   0.000000e+00   
2.111000e+01   2.036953e+02   2.433247e+02   2.770043e+01   0.000000e+00   2.579094e-16   1.373563e-13   5.470099e-13   0.000000e+00   
2.112000e+01   2.037053e+02   2.433366e+02   2.790272e+01   0.000000e+00   2.597929e-16   1.383594e-13   5.510046e-13   0.000000e+00   
2.113000e+01   2.037153e+02   2.433486e+02   2.810591e+01   0.000000e+00   2.616847e-16   1.393670e-13   5.550172e-13   0.000000e+00   
2.114000e+01   2.037253e+02   2.433605e+02   2.830982e+01   0.000000e+00   2.635832e-16   1.403781e-13   5.590438e-13   0.000000e+00   
2.115000e+01   2.037353e+02   2.433725e+02   2.851437e+01   0.000000e+00   2.362056e-16   1.289086e-13   5.553345e-13   0.000000e+00   
2.116000e+01   2.037453e+02   2.433844e+02   2.871952e+01   0.000000e+00   2.379050e-16   1.298361e-13   5.593299e-13   0.000000e+00   
2.117000e+01   2.037553e+02   2.433964e+02   2.892523e+01   0.000000e+00   2.396091e-16   1.307661e-13   5.633362e-13   0.000000e+00   
2.118000e+01   2.037653e+02   2.434083e+02   2.913151e+01   0.000000e+00   2.413178e-16   1.316986e-13   5.673536e-13   0.000000e+00   
2.119000e+01   2.037753e+02   2.434203e+02   2.933836e+01   0.000000e+00   2.430314e-16   1.326338e-13   5.713823e-13   0.000000e+00   
2.120000e+01   2.037853e+02   2.434322e+02   2.954569e+01   0.000000e+00   2.447488e-16   1.335710e-13   5.754200e-13   0.000000e+00   
2.121000e+01   2.037953e+02   2.434442e+02   2.975420e+01   0.000000e+00   2.464760e-16   1.345137e-13   5.794809e-13   0.000000e+00   
2.122000e+01   2.038053e+02   2.434561e+02   2.996353e+01   0.000000e+00   2.482101e-16   1.354600e-13   5.835577e-13   0.000000e+00   
2.123000e+01   2.038153e+02   2.434680e+02   3.017368e+01   0.000000e+00   2.499509e-16   1.364101e-13   5.876506e-13   0.000000e+00   
2.124000e+01   2.038253e+02   2.434800e+02   3.038448e+01   0.000000e+00   2.516971e-16   1.373631e-13   5.917560e-13   0.000000e+00   
2.125000e+01   2.038353e+02   2.434919e+02   3.059586e+01   0.000000e+00   2.255496e-16   1.261030e-13   5.864628e-13   0.000000e+00   
2.126000e+01   2.038453e+02   2.435039e+02   3.080777e+01   0.000000e+00   2.271119e-16   1.269764e-13   5.905248e-13   0.000000e+00   
2.127000e+01   2.038553e+02   2.435158e+02   3.102020e+01   0.000000e+00   2.286778e-16   1.278519e-13   5.945966e-13   0.000000e+00   
2.128000e+01   2.038653e+02   2.435278e+02   3.123313e+01   0.000000e+00   2.302475e-16   1.287295e-13   5.986780e-13   0.000000e+00   
2.129000e+01   2.038753e+02   2.435397e+02   3.144666e+01   0.000000e+00   2.318216e-16   1.296096e-13   6.027710e-13   0.000000e+00   
2.130000e+01   2.038853e+02   2.435517e+02   3.166059e+01   0.000000e+00   2.333987e-16   1.304914e-13   6.068717e-13   0.000000e+00   
2.131000e+01   2.038953e+02   2.435636e+02   3.187565e+01   0.000000e+00   2.349841e-16   1.313778e-13   6.109940e-13   0.000000e+00   
