# Parameters and options used in calculation
# 20   Projectile charge
# 50   Projectile mass
# 100   Target charge
# 257   Target mass
# 1   Shell correction
# 1   Shell-correction factor
# 0.1   Stepsize for the kinetic energy
# 1   Level-density parameter used
# 19   Damping-shell energy used
# 1   af/an ratio
# 0.4   Correction factor for the moment of inertia
# 0   Mass table used
# 1   Pairing correction
# 1   Kramers-Strutinsky factor
# 1   Collective enhancement factor
# 5e+21   Reduced friction used
# 1   Potential curvature in the ground state (MeV)
# 1   Potential curvature at the saddle point (MeV)
# 1   Evaporation model used
# 0   Hill-Wheeler penetration factor used
# 1   Fission-barrier model used
# 20   Minimum excitation energy
# 50   Maximum excitation energy
# 0.1   Stepsize for the spectral discretization
# 0.1   Stepsize for plotting the excitation function
# 0   Minimum angular momentum
# 199   Maximum angular momentum
# 4   Number of emitted neutrons
# 0   Number of emitted protons
# 1   Types of emitted particles at each step
# 0   Gamma-ray emission
# 1   Gamma-ray emission model used
# 0   Fission-time calculation
# 1.1   Time factor
# 1e-06   Cut-off for the transmission coefficient
# 1e-50   Cut-off for the decay width
# 0   Fusion model used
# 0, 0   Barrier-distribution parameters
# 32   Number of abscissas for the G-L integration
# CaPu.dat   Name of the fusion data file
# Koura.dat   Name of the nuclear data file
# MollerFisBar.dat   Name of the fission-barrier data file
# cross-sections.dat   Name of the output file
# Estar	Ecm	Elab	Fusion	0n0p	1n0p	2n0p	3n0p	4n0p   
2.000000e+01   2.025853e+02   2.419987e+02   1.040949e+01   0.000000e+00   3.049128e-08   3.229783e-04   2.880393e-04   0.000000e+00   
2.010000e+01   2.026853e+02   2.421182e+02   1.152426e+01   0.000000e+00   2.971002e-08   3.271386e-04   3.410871e-04   0.000000e+00   
2.020000e+01   2.027853e+02   2.422377e+02   1.272642e+01   0.000000e+00   2.888541e-08   3.302762e-04   4.017919e-04   0.000000e+00   
2.030000e+01   2.028853e+02   2.423571e+02   1.401749e+01   0.000000e+00   2.801968e-08   3.323462e-04   4.708693e-04   0.000000e+00   
2.040000e+01   2.029853e+02   2.424766e+02   1.539798e+01   0.000000e+00   2.711528e-08   3.333100e-04   5.490262e-04   0.000000e+00   
2.050000e+01   2.030853e+02   2.425960e+02   1.686807e+01   0.000000e+00   2.617638e-08   3.331550e-04   6.369779e-04   0.000000e+00   
2.060000e+01   2.031853e+02   2.427155e+02   1.842762e+01   0.000000e+00   2.520826e-08   3.318904e-04   7.354431e-04   0.000000e+00   
2.070000e+01   2.032853e+02   2.428349e+02   2.007583e+01   0.000000e+00   2.421646e-08   3.295385e-04   8.451242e-04   0.000000e+00   
2.080000e+01   2.033853e+02   2.429544e+02   2.180981e+01   0.000000e+00   2.320526e-08   3.261138e-04   9.666391e-04   0.000000e+00   
2.090000e+01   2.034853e+02   2.430738e+02   2.362763e+01   0.000000e+00   2.218120e-08   3.216717e-04   1.100636e-03   0.000000e+00   
2.100000e+01   2.035853e+02   2.431933e+02   2.552529e+01   0.000000e+00   2.114938e-08   3.162583e-04   1.247656e-03   0.000000e+00   
2.110000e+01   2.036853e+02   2.433128e+02   2.749934e+01   0.000000e+00   2.011606e-08   3.099470e-04   1.408243e-03   0.000000e+00   
2.120000e+01   2.037853e+02   2.434322e+02   2.954569e+01   0.000000e+00   1.908704e-08   3.028165e-04   1.582883e-03   0.000000e+00   
2.130000e+01   2.038853e+02   2.435517e+02   3.166059e+01   0.000000e+00   1.806829e-08   2.949591e-04   1.772056e-03   0.000000e+00   
2.140000e+01   2.039853e+02   2.436711e+02   3.383927e+01   0.000000e+00   1.706481e-08   2.864629e-04   1.976149e-03   0.000000e+00   
2.150000e+01   2.040853e+02   2.437906e+02   3.607732e+01   0.000000e+00   1.608144e-08   2.774232e-04   2.195539e-03   0.000000e+00   
2.160000e+01   2.041853e+02   2.439100e+02   3.836990e+01   0.000000e+00   1.512234e-08   2.679329e-04   2.430539e-03   0.000000e+00   
2.170000e+01   2.042853e+02   2.440295e+02   4.071219e+01   0.000000e+00   1.419113e-08   2.580839e-04   2.681421e-03   0.000000e+00   
2.180000e+01   2.043853e+02   2.441489e+02   4.309923e+01   0.000000e+00   1.329082e-08   2.479643e-04   2.948410e-03   0.000000e+00   
2.190000e+01   2.044853e+02   2.442684e+02   4.552754e+01   0.000000e+00   1.242428e-08   2.376660e-04   3.231792e-03   0.000000e+00   
2.200000e+01   2.045853e+02   2.443878e+02   4.799431e+01   0.000000e+00   1.159379e-08   2.272758e-04   3.531873e-03   0.000000e+00   
2.210000e+01   2.046853e+02   2.445073e+02   5.049488e+01   0.000000e+00   1.080054e-08   2.168630e-04   3.848793e-03   0.000000e+00   
2.220000e+01   2.047853e+02   2.446268e+02   5.302382e+01   0.000000e+00   1.004509e-08   2.064879e-04   4.182550e-03   0.000000e+00   
2.230000e+01   2.048853e+02   2.447462e+02   5.558024e+01   0.000000e+00   9.328463e-09   1.962214e-04   4.533337e-03   0.000000e+00   
2.240000e+01   2.049853e+02   2.448657e+02   5.816084e+01   0.000000e+00   8.650641e-09   1.861153e-04   4.900903e-03   0.000000e+00   
2.250000e+01   2.050853e+02   2.449851e+02   6.076158e+01   0.000000e+00   8.011154e-09   1.762115e-04   5.284551e-03   0.000000e+00   
2.260000e+01   2.051853e+02   2.451046e+02   6.338103e+01   0.000000e+00   7.409577e-09   1.665529e-04   5.683338e-03   6.653329e-11   
2.270000e+01   2.052853e+02   2.452240e+02   6.601703e+01   0.000000e+00   6.845059e-09   1.571722e-04   6.095754e-03   8.600122e-10   
2.280000e+01   2.053853e+02   2.453435e+02   6.866546e+01   0.000000e+00   6.316333e-09   1.480911e-04   6.519569e-03   5.519706e-09   
2.290000e+01   2.054853e+02   2.454629e+02   7.132775e+01   0.000000e+00   5.822483e-09   1.393377e-04   6.952569e-03   2.382550e-08   
2.300000e+01   2.055853e+02   2.455824e+02   7.399983e+01   0.000000e+00   5.361920e-09   1.309221e-04   7.391570e-03   7.883635e-08   
2.310000e+01   2.056853e+02   2.457019e+02   7.668047e+01   0.000000e+00   4.933219e-09   1.228561e-04   7.833274e-03   2.153746e-07   
2.320000e+01   2.057853e+02   2.458213e+02   7.936929e+01   0.000000e+00   4.534921e-09   1.151477e-04   8.274192e-03   5.092681e-07   
2.330000e+01   2.058853e+02   2.459408e+02   8.206336e+01   0.000000e+00   4.165364e-09   1.077973e-04   8.710384e-03   1.076140e-06   
2.340000e+01   2.059853e+02   2.460602e+02   8.476302e+01   0.000000e+00   3.823055e-09   1.008068e-04   9.138165e-03   2.078797e-06   
2.350000e+01   2.060853e+02   2.461797e+02   8.746754e+01   0.000000e+00   3.506430e-09   9.417321e-05   9.553766e-03   3.732426e-06   
2.360000e+01   2.061853e+02   2.462991e+02   9.017607e+01   0.000000e+00   3.213930e-09   8.789100e-05   9.953507e-03   6.307218e-06   
2.370000e+01   2.062853e+02   2.464186e+02   9.288603e+01   0.000000e+00   2.943977e-09   8.195112e-05   1.033371e-02   1.012812e-05   
2.380000e+01   2.063853e+02   2.465380e+02   9.559946e+01   0.000000e+00   2.695194e-09   7.634722e-05   1.069146e-02   1.557272e-05   
2.390000e+01   2.064853e+02   2.466575e+02   9.831287e+01   0.000000e+00   2.466075e-09   7.106672e-05   1.102355e-02   2.306522e-05   
2.400000e+01   2.065853e+02   2.467770e+02   1.010288e+02   0.000000e+00   2.255344e-09   6.610081e-05   1.132781e-02   3.307129e-05   
2.410000e+01   2.066853e+02   2.468964e+02   1.037436e+02   0.000000e+00   2.061628e-09   6.143543e-05   1.160176e-02   4.608727e-05   
