# Parameters and options used in calculation
# 3   Projectile charge
# 6   Projectile mass
# 83   Target charge
# 209   Target mass
# 1   Shell correction
# 1   Shell-correction factor
# 0.1   Stepsize for the kinetic energy
# 1   Level-density parameter used
# 19   Damping-shell energy used
# 1   af/an ratio
# 0.4   Correction factor for the moment of inertia
# 0   Mass table used
# 1   Pairing correction
# 1   Kramers-Strutinsky factor
# 1   Collective enhancement factor
# 5e+21   Reduced friction used
# 1   Potential curvature in the ground state (MeV)
# 1   Potential curvature at the saddle point (MeV)
# 1   Evaporation model used
# 0   Hill-Wheeler penetration factor used
# 1   Fission-barrier model used
# 20   Minimum excitation energy
# 50   Maximum excitation energy
# 0.1   Stepsize for the spectral discretization
# 0.01   Stepsize for plotting the excitation function
# 0   Minimum angular momentum
# 199   Maximum angular momentum
# 4   Number of emitted neutrons
# 0   Number of emitted protons
# 1   Types of emitted particles at each step
# 0   Gamma-ray emission
# 1   Gamma-ray emission model used
# 0   Fission-time calculation
# 1.1   Time factor
# 1e-06   Cut-off for the transmission coefficient
# 1e-50   Cut-off for the decay width
# 0   Fusion model used
# 0, 0   Barrier-distribution parameters
# 32   Number of abscissas for the G-L integration
# CaPu.dat   Name of the fusion data file
# Koura.dat   Name of the nuclear data file
# MollerFisBar.dat   Name of the fission-barrier data file
# cross-sections.dat   Name of the output file
# Estar	Ecm	Elab	Fusion	0n0p	1n0p	2n0p	3n0p	4n0p   
2.000000e+01   2.305518e+01   2.371705e+01   1.308522e-02   0.000000e+00   3.018925e-06   1.094068e-02   2.140898e-03   0.000000e+00   
2.001000e+01   2.306518e+01   2.372733e+01   1.334821e-02   0.000000e+00   3.079599e-06   1.116057e-02   2.183926e-03   0.000000e+00   
2.002000e+01   2.307518e+01   2.373762e+01   1.361623e-02   0.000000e+00   3.141434e-06   1.138466e-02   2.227777e-03   0.000000e+00   
2.003000e+01   2.308518e+01   2.374791e+01   1.388937e-02   0.000000e+00   3.204453e-06   1.161304e-02   2.272467e-03   0.000000e+00   
2.004000e+01   2.309518e+01   2.375820e+01   1.416774e-02   0.000000e+00   3.268676e-06   1.184579e-02   2.318012e-03   0.000000e+00   
2.005000e+01   2.310518e+01   2.376848e+01   1.445143e-02   0.000000e+00   2.969629e-06   1.168480e-02   2.762901e-03   0.000000e+00   
2.006000e+01   2.311518e+01   2.377877e+01   1.474052e-02   0.000000e+00   3.029036e-06   1.191855e-02   2.818172e-03   0.000000e+00   
2.007000e+01   2.312518e+01   2.378906e+01   1.503513e-02   0.000000e+00   3.089574e-06   1.215676e-02   2.874496e-03   0.000000e+00   
2.008000e+01   2.313518e+01   2.379934e+01   1.533534e-02   0.000000e+00   3.151266e-06   1.239950e-02   2.931893e-03   0.000000e+00   
2.009000e+01   2.314518e+01   2.380963e+01   1.564127e-02   0.000000e+00   3.214131e-06   1.264685e-02   2.990381e-03   0.000000e+00   
2.010000e+01   2.315518e+01   2.381992e+01   1.595301e-02   0.000000e+00   3.278190e-06   1.289891e-02   3.049981e-03   0.000000e+00   
2.011000e+01   2.316518e+01   2.383020e+01   1.627067e-02   0.000000e+00   3.343466e-06   1.315576e-02   3.110712e-03   0.000000e+00   
2.012000e+01   2.317518e+01   2.384049e+01   1.659435e-02   0.000000e+00   3.409979e-06   1.341747e-02   3.172596e-03   0.000000e+00   
2.013000e+01   2.318518e+01   2.385078e+01   1.692416e-02   0.000000e+00   3.477753e-06   1.368415e-02   3.235652e-03   0.000000e+00   
2.014000e+01   2.319518e+01   2.386107e+01   1.726022e-02   0.000000e+00   3.546810e-06   1.395587e-02   3.299901e-03   0.000000e+00   
2.015000e+01   2.320518e+01   2.387135e+01   1.760264e-02   0.000000e+00   3.222494e-06   1.372642e-02   3.871984e-03   0.000000e+00   
2.016000e+01   2.321518e+01   2.388164e+01   1.795152e-02   0.000000e+00   3.286363e-06   1.399848e-02   3.948727e-03   0.000000e+00   
2.017000e+01   2.322518e+01   2.389193e+01   1.830700e-02   0.000000e+00   3.351440e-06   1.427567e-02   4.026919e-03   0.000000e+00   
2.018000e+01   2.323518e+01   2.390221e+01   1.866918e-02   0.000000e+00   3.417744e-06   1.455810e-02   4.106587e-03   0.000000e+00   
2.019000e+01   2.324518e+01   2.391250e+01   1.903818e-02   0.000000e+00   3.485297e-06   1.484584e-02   4.187755e-03   0.000000e+00   
2.020000e+01   2.325518e+01   2.392279e+01   1.941413e-02   0.000000e+00   3.554121e-06   1.513900e-02   4.270450e-03   0.000000e+00   
2.021000e+01   2.326518e+01   2.393308e+01   1.979715e-02   0.000000e+00   3.624239e-06   1.543768e-02   4.354701e-03   0.000000e+00   
2.022000e+01   2.327518e+01   2.394336e+01   2.018736e-02   0.000000e+00   3.695675e-06   1.574196e-02   4.440534e-03   0.000000e+00   
2.023000e+01   2.328518e+01   2.395365e+01   2.058489e-02   0.000000e+00   3.768451e-06   1.605196e-02   4.527978e-03   0.000000e+00   
2.024000e+01   2.329518e+01   2.396394e+01   2.098988e-02   0.000000e+00   3.842591e-06   1.636776e-02   4.617062e-03   0.000000e+00   
2.025000e+01   2.330518e+01   2.397422e+01   2.140245e-02   0.000000e+00   3.491426e-06   1.605396e-02   5.343641e-03   0.000000e+00   
2.026000e+01   2.331518e+01   2.398451e+01   2.182274e-02   0.000000e+00   3.559990e-06   1.636922e-02   5.448578e-03   0.000000e+00   
2.027000e+01   2.332518e+01   2.399480e+01   2.225089e-02   0.000000e+00   3.629835e-06   1.669038e-02   5.555475e-03   0.000000e+00   
2.028000e+01   2.333518e+01   2.400509e+01   2.268704e-02   0.000000e+00   3.700984e-06   1.701753e-02   5.664370e-03   0.000000e+00   
2.029000e+01   2.334518e+01   2.401537e+01   2.313132e-02   0.000000e+00   3.773461e-06   1.735079e-02   5.775296e-03   0.000000e+00   
2.030000e+01   2.335518e+01   2.402566e+01   2.358389e-02   0.000000e+00   3.847289e-06   1.769026e-02   5.888290e-03   0.000000e+00   
2.031000e+01   2.336518e+01   2.403595e+01   2.404488e-02   0.000000e+00   3.922491e-06   1.803605e-02   6.003388e-03   0.000000e+00   
2.032000e+01   2.337518e+01   2.404623e+01   2.451445e-02   0.000000e+00   3.999093e-06   1.838827e-02   6.120627e-03   0.000000e+00   
2.033000e+01   2.338518e+01   2.405652e+01   2.499274e-02   0.000000e+00   4.077119e-06   1.874704e-02   6.240045e-03   0.000000e+00   
2.034000e+01   2.339518e+01   2.406681e+01   2.547992e-02   0.000000e+00   4.156593e-06   1.911247e-02   6.361681e-03   0.000000e+00   
2.035000e+01   2.340518e+01   2.407709e+01   2.597614e-02   0.000000e+00   3.776950e-06   1.869618e-02   7.274372e-03   0.000000e+00   
2.036000e+01   2.341518e+01   2.408738e+01   2.648155e-02   0.000000e+00   3.850437e-06   1.905995e-02   7.415907e-03   0.000000e+00   
2.037000e+01   2.342518e+01   2.409767e+01   2.699631e-02   0.000000e+00   3.925285e-06   1.943045e-02   7.560063e-03   0.000000e+00   
2.038000e+01   2.343518e+01   2.410796e+01   2.752060e-02   0.000000e+00   4.001517e-06   1.980781e-02   7.706885e-03   0.000000e+00   
2.039000e+01   2.344518e+01   2.411824e+01   2.805458e-02   0.000000e+00   4.079157e-06   2.019213e-02   7.856420e-03   0.000000e+00   
2.040000e+01   2.345518e+01   2.412853e+01   2.859841e-02   0.000000e+00   4.158231e-06   2.058356e-02   8.008716e-03   0.000000e+00   
2.041000e+01   2.346518e+01   2.413882e+01   2.915228e-02   0.000000e+00   4.238764e-06   2.098220e-02   8.163821e-03   0.000000e+00   
2.042000e+01   2.347518e+01   2.414910e+01   2.971635e-02   0.000000e+00   4.320780e-06   2.138818e-02   8.321783e-03   0.000000e+00   
2.043000e+01   2.348518e+01   2.415939e+01   3.029080e-02   0.000000e+00   4.404306e-06   2.180164e-02   8.482653e-03   0.000000e+00   
2.044000e+01   2.349518e+01   2.416968e+01   3.087582e-02   0.000000e+00   4.489367e-06   2.222271e-02   8.646482e-03   0.000000e+00   
2.045000e+01   2.350518e+01   2.417997e+01   3.147158e-02   0.000000e+00   4.079571e-06   2.168339e-02   9.781721e-03   0.000000e+00   
2.046000e+01   2.351518e+01   2.419025e+01   3.207828e-02   0.000000e+00   4.158216e-06   2.210140e-02   9.970290e-03   0.000000e+00   
2.047000e+01   2.352518e+01   2.420054e+01   3.269611e-02   0.000000e+00   4.238303e-06   2.252707e-02   1.016232e-02   0.000000e+00   
2.048000e+01   2.353518e+01   2.421083e+01   3.332525e-02   0.000000e+00   4.319857e-06   2.296054e-02   1.035786e-02   0.000000e+00   
2.049000e+01   2.354518e+01   2.422111e+01   3.396590e-02   0.000000e+00   4.402903e-06   2.340194e-02   1.055698e-02   0.000000e+00   
2.050000e+01   2.355518e+01   2.423140e+01   3.461827e-02   0.000000e+00   4.487468e-06   2.385141e-02   1.075975e-02   0.000000e+00   
2.051000e+01   2.356518e+01   2.424169e+01   3.528256e-02   0.000000e+00   4.573577e-06   2.430909e-02   1.096622e-02   0.000000e+00   
2.052000e+01   2.357518e+01   2.425198e+01   3.595897e-02   0.000000e+00   4.661258e-06   2.477512e-02   1.117645e-02   0.000000e+00   
2.053000e+01   2.358518e+01   2.426226e+01   3.664770e-02   0.000000e+00   4.750537e-06   2.524965e-02   1.139052e-02   0.000000e+00   
